"snippet","data_ref","x","y","tied_data_refs"
"e''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:55:2:3",10.536,15.732,""
"e''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:55:7:8",14.426,15.732,""
"dis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:55:12:13",17.744,15.732,""
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:55:19:20",20.173,15.732,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:55:26:27",23.482,15.732,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:55:30:31",27.347,15.732,""
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:55:36:37",32.737,15.732,""
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:55:43:44",36.38,15.732,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:55:50:51",39.706,15.732,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:55:54:55",42.461,15.732,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:55:58:59",45.173,15.732,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:55:67:68",51.002,15.732,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:56:2:3",55.193,15.732,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:56:8:9",57.622,15.732,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:56:14:15",60.051,15.732,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:56:20:21",62.831,15.732,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:56:24:25",66.636,15.732,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:56:28:29",70.91,15.732,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:56:34:35",73.946,15.732,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:56:38:39",77.623,15.732,""
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:56:44:45",81.814,15.732,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:56:51:52",88.564,15.732,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:57:2:3",97.233,15.732,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:57:8:9",101.584,15.732,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM159_TuhanAdalahRajaSegalaRaja/GPM159_TuhanAdalahRajaSegalaRaja_ly_data.ily:57:14:15",105.141,15.732,""
